endpoint,version,required,read,readbasic,readdetail,readcredits,readdebits,readpan
/accounts,1.1,mandatory,,ReadAccountsBasic,ReadAccountsDetail,,,
/accounts/{AccountId},1.1,mandatory,,ReadAccountsBasic,ReadAccountsDetail,,,
/balances,1.1,optional,ReadBalances,,,,,
/accounts/{AccountId}/balances,1.1,mandatory,ReadBalances,,,,,
/beneficiaries,1.1,optional,,ReadBeneficiariesBasic,ReadBeneficiariesDetail,,,
/accounts/{AccountId}/beneficiaries,1.1,mandatory,,ReadBeneficiariesBasic,ReadBeneficiariesDetail,,,
/direct-debits,1.1,optional,ReadDirectDebits,,,,,
/accounts/{AccountId}/direct-debits,1.1,mandatory,ReadDirectDebits,,,,,
/standing-orders,1.1,optional,,ReadStandingOrdersBasic,ReadStandingOrdersDetail,,,
/accounts/{AccountId}/standing-orders,1.1,mandatory,,ReadStandingOrdersBasic,ReadStandingOrdersDetail,,,
/transactions,1.1,optional,,ReadTransactionsBasic,ReadTransactionsDetail,ReadTransactionsCredits,ReadTransactionsDebits,
/accounts/{AccountId}/transactions,1.1,mandatory,,ReadTransactionsBasic,ReadTransactionsDetail,ReadTransactionsCredits,ReadTransactionsDebits,
/products,1.1,optional,ReadProducts,,,,,
/accounts/{AccountId}/product,1.1,mandatory,ReadProducts,,,,,
